"day","rest","light","moderate","vigorous"
"03/02/2016",964,92,341,43
"04/02/2016",1003,95,299,43
"05/02/2016",1220,63,142,15
"06/02/2016",1169,69,173,29
"07/02/2016",878,122,373,67
"08/02/2016",977,88,321,54
"09/02/2016",925,114,359,42
