"start_time","rest","light","moderate","vigorous"
"0",60,0,0,0
"1",60,0,0,0
"2",60,0,0,0
"3",60,0,0,0
"4",60,0,0,0
"5",60,0,0,0
"6",57,1,2,0
"7",57,2,1,0
"8",56,2,1,1
"9",52,4,3,1
"10",53,6,1,0
"11",47,5,7,1
"12",38,5,12,5
"13",42,1,15,2
"14",47,4,9,0
"15",24,3,24,9
"16",32,6,16,6
"17",56,1,3,0
"18",32,7,21,0
"19",46,4,10,0
"20",40,6,14,0
"21",50,4,5,1
"22",49,1,9,1
"23",60,0,0,0
