"day","rest","light","moderate","vigorous"
"03/02/2016",835,116,416,73
"04/02/2016",910,97,357,76
"05/02/2016",1064,101,231,44
"06/02/2016",1067,85,272,16
"07/02/2016",957,121,330,32
"08/02/2016",990,112,321,17
"09/02/2016",1109,33,214,84
