"start_time","rest","light","moderate","vigorous"
"0",60,0,0,0
"1",60,0,0,0
"2",60,0,0,0
"3",60,0,0,0
"4",60,0,0,0
"5",56,1,3,0
"6",46,3,10,1
"7",39,6,15,0
"8",33,5,20,2
"9",22,11,22,5
"10",24,4,18,14
"11",13,4,27,16
"12",24,7,22,7
"13",31,7,19,3
"14",33,5,18,4
"15",20,6,30,4
"16",21,5,31,3
"17",31,4,22,3
"18",32,6,21,1
"19",38,8,14,0
"20",47,3,9,1
"21",40,4,16,0
"22",58,0,1,1
"23",60,0,0,0
