"day","rest","light","moderate","vigorous"
"03/02/2016",1009,126,266,39
"04/02/2016",945,119,269,107
"05/02/2016",1073,105,184,78
"06/02/2016",1094,101,172,73
"07/02/2016",1053,110,200,77
"08/02/2016",1043,116,204,77
"09/02/2016",1060,105,198,77
